#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-10-01 to 2018-09-30
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 415: Copper Mountain, CO
# 
# Data items provided in this file:
#
# Element Name  Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description       
# Snow Depth    Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Copper Mountain (415) 
# Colorado  SNOTEL Site - 10550 ft
# Reporting Frequency: Daily; Date Range: 2017-10-01 to 2018-09-30
#
# As of: Jan 27, 2018 3:56:18 PM GMT-08:00
#
Date,Copper Mountain (415) Snow Depth (in) Start of Day Values
2017-10-01,1
2017-10-02,12
2017-10-03,11
2017-10-04,7
2017-10-05,4
2017-10-06,2
2017-10-07,2
2017-10-08,1
2017-10-09,0
2017-10-10,1
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,3
2017-10-22,3
2017-10-23,2
2017-10-24,1
2017-10-25,1
2017-10-26,1
2017-10-27,1
2017-10-28,1
2017-10-29,1
2017-10-30,1
2017-10-31,2
2017-11-01,1
2017-11-02,1
2017-11-03,1
2017-11-04,1
2017-11-05,2
2017-11-06,2
2017-11-07,2
2017-11-08,2
2017-11-09,2
2017-11-10,1
2017-11-11,1
2017-11-12,1
2017-11-13,1
2017-11-14,1
2017-11-15,1
2017-11-16,1
2017-11-17,1
2017-11-18,9
2017-11-19,7
2017-11-20,6
2017-11-21,4
2017-11-22,8
2017-11-23,7
2017-11-24,7
2017-11-25,7
2017-11-26,7
2017-11-27,7
2017-11-28,7
2017-11-29,7
2017-11-30,7
2017-12-01,6
2017-12-02,6
2017-12-03,6
2017-12-04,7
2017-12-05,9
2017-12-06,9
2017-12-07,9
2017-12-08,9
2017-12-09,10
2017-12-10,10
2017-12-11,10
2017-12-12,10
2017-12-13,10
2017-12-14,11
2017-12-15,12
2017-12-16,12
2017-12-17,12
2017-12-18,12
2017-12-19,11
2017-12-20,11
2017-12-21,11
2017-12-22,13
2017-12-23,13
2017-12-24,18
2017-12-25,17
2017-12-26,28
2017-12-27,26
2017-12-28,24
2017-12-29,22
2017-12-30,20
2017-12-31,19
2018-01-01,19
2018-01-02,19
2018-01-03,19
2018-01-04,18
2018-01-05,18
2018-01-06,18
2018-01-07,21
2018-01-08,23
2018-01-09,21
2018-01-10,21
2018-01-11,24
2018-01-12,23
2018-01-13,31
2018-01-14,30
2018-01-15,29
2018-01-16,28
2018-01-17,27
2018-01-18,26
2018-01-19,25
2018-01-20,24
2018-01-21,27
2018-01-22,31
2018-01-23,30
2018-01-24,29
2018-01-25,28
2018-01-26,28
2018-01-27,30
